Ano,dist_km,ci_low,ci_high
1985,289.94040184362984,270.13862339141167,309.66563890360726
1986,357.0544259715577,333.8031325670572,380.93258890794425
1987,344.8944315503352,322.88765948075974,365.3476581846844
1988,300.38058991495484,280.52525194818406,319.64639023544476
1989,498.5136152782216,481.0354997676821,516.6354841478164
1990,385.5665381588955,363.3115981293511,408.1564364654521
1991,277.9869171361928,254.02461527351284,302.0574356929898
1992,385.06801709269956,364.2905949422663,406.07759810836365
1993,335.7264669302004,317.28351630204287,353.8688219230279
1994,336.9410093431446,316.6121309025802,358.54143932467707
1995,418.23183671199314,395.22757656437113,443.366846241919
1996,331.8523082547823,310.5506164662974,352.12029691461305
1997,460.99026010341566,436.91487103440056,484.51179327161066
1998,420.76916181366914,396.5878288098216,443.91117231276127
1999,219.25614010651935,202.940347998291,236.49829545444777
2000,301.4942277970744,280.86457265408495,319.5488567358905
2001,253.1668580895817,226.34434896229897,279.25363734398815
2002,294.09610606630537,273.3855985805068,316.2515463951489
2003,314.57121959883403,286.9467334708886,339.19867610059913
2004,327.46193017995256,302.82425127772,351.3195138151888
2005,408.3091900647632,383.8700429259897,430.63726836169764
2006,352.6522453763989,332.8401263880494,373.4516898907162
2007,316.24255496137386,299.459525292136,334.48984518948515
2008,269.4738546113899,246.35917698108503,292.46111649065256
2009,92.9929206644982,59.84560287822806,138.64140359769468
2010,307.8103587179923,289.96449418726087,327.02345422158373
2011,204.46426967297998,165.88170472019374,237.8118469356267
2012,327.41101829607544,305.7832450932523,348.29769665303445
2013,187.46061185640303,160.99441057135635,215.09007262864316
2014,211.66618588599317,183.63836214442838,242.21865067878267
2015,261.9972257575916,230.83341171676489,293.57530061874945
2016,208.53254400790834,182.59724870547555,235.8077435169846
2017,220.63798776953308,195.93391473628745,245.82267984389827
2018,398.3784486687505,371.7292295668043,425.49610814981224
2019,278.8242440300067,246.3180058529557,314.4953036336087
2020,227.4999372520834,188.7830186502241,265.0934153603582
2021,496.93550156192964,456.8097907073365,537.5065150815601
2022,472.93346193415334,443.26120457075916,502.07675938763657
2023,157.72717388717453,126.01004447019432,202.54181602476257
2024,73.19867406307242,41.024293534495115,110.39855966818085
