Ano,Bioma,grupo,n_patches,total_area_ha,POINT_X,POINT_Y,centroid_lon,centroid_lat
1985,Amazônia,Anthropogenic_use,156612,2847977.55,538424.9630353635,2536309.457439063,-55.06321725443485,-9.890865133710989
1985,Caatinga,Anthropogenic_use,14517,81367.83,2048563.235354203,2433144.3193640127,-40.89717887979085,-9.831114256424593
1985,Cerrado,Anthropogenic_use,302906,2351184.84,952848.673475842,1938679.735396155,-50.812045817544,-15.020889965394458
1985,Mata Atlântica,Anthropogenic_use,43773,237948.21,1307571.786733249,1102992.173839121,-46.746586158311025,-21.969379704132308
1985,Pampa,Anthropogenic_use,52,108.0,603816.3535094032,194934.51773082293,-53.41836351051039,-30.20692828396575
1985,Pantanal,Anthropogenic_use,15728,82483.92000000001,368603.9232222268,1560315.5995570119,-56.34515984765672,-18.565048645690876
1986,Amazônia,Anthropogenic_use,185055,2638389.33,509542.5573261183,2533900.135460448,-55.32038283306632,-9.917178376077349
1986,Caatinga,Anthropogenic_use,47542,279406.44,1805518.0601903158,2159818.2034914275,-42.83384335868162,-12.497805291320258
1986,Cerrado,Anthropogenic_use,215741,1367810.7300000002,1020847.6752105808,2037921.5616153195,-50.21544131029404,-14.119023261457553
1986,Mata Atlântica,Anthropogenic_use,56840,268340.22,1546438.0139625065,1234791.0018976037,-44.46501946339854,-20.653863250057817
1986,Pampa,Anthropogenic_use,45,95.13,665171.0039135522,125840.14521685522,-52.716597771219554,-30.775628549374655
1986,Pantanal,Anthropogenic_use,11526,58045.32000000001,281582.85699251585,1452957.7921472217,-57.189367692106316,-19.504917996931933
1987,Amazônia,Anthropogenic_use,269340,4391270.91,513355.5323715568,2585903.9308389896,-55.327843809812855,-9.432846521563546
1987,Caatinga,Anthropogenic_use,28853,92384.19,2014701.6451961969,2347335.9918660126,-41.09589372837279,-10.629122708621088
1987,Cerrado,Anthropogenic_use,301395,2106976.5,1038300.6027352761,2117671.6940112375,-50.11160690370283,-13.414079820150878
1987,Mata Atlântica,Anthropogenic_use,33297,151554.78,1591354.736834363,1308524.273165175,-44.12094302484618,-19.969956487399404
1987,Pampa,Anthropogenic_use,80,176.4,668090.9188775669,141586.29291154075,-52.69141795859667,-30.639702190628988
1987,Pantanal,Anthropogenic_use,10740,72467.46,248852.25991344734,1531487.6232318475,-57.51988438606358,-18.830786094940002
1988,Amazônia,Anthropogenic_use,223200,4152902.13,553774.630282303,2567240.2209818903,-54.91867945147124,-9.615696635945234
1988,Caatinga,Anthropogenic_use,17657,67299.12,1888273.2189742462,2268381.6441631783,-42.18773495206636,-11.45518333218326
1988,Cerrado,Anthropogenic_use,308597,2364908.4,981099.4634438384,1964798.0015347905,-50.560460185279865,-14.782206082620272
1988,Mata Atlântica,Anthropogenic_use,41424,222979.05,1477866.7825416212,1201047.8089985806,-45.11781604751069,-20.99654901382593
1988,Pampa,Anthropogenic_use,106,196.65,688520.1378126179,158520.43174498348,-52.47505979680375,-30.486969206266995
1988,Pantanal,Anthropogenic_use,28018,198709.02,313412.6843879192,1475601.0842247622,-56.87480675852133,-19.305531307005776
1989,Amazônia,Anthropogenic_use,165507,2031912.6300000001,400465.9888594808,2508591.8318581264,-56.33383529258515,-10.170914529581337
1989,Caatinga,Anthropogenic_use,20591,91833.57,1857701.7563248225,2219512.6447682665,-42.41563577168997,-11.915302360208376
1989,Cerrado,Anthropogenic_use,122513,848750.49,1051029.5252197136,1953040.963558687,-49.881006336119164,-14.84898984830002
1989,Mata Atlântica,Anthropogenic_use,20118,93835.98000000001,1474515.9089913152,1209379.7209063144,-45.21498204646466,-20.909397683648326
1989,Pampa,Anthropogenic_use,199,362.61,692962.5719248641,138208.6371181057,-52.41691003611558,-30.659907296870436
1989,Pantanal,Anthropogenic_use,6363,32355.36,282450.3990814263,1531105.8005040353,-57.19008945857022,-18.831289356505263
1990,Amazônia,Anthropogenic_use,176387,2682503.55,527756.988112601,2599448.605147843,-55.1703173063564,-9.325495058767546
1990,Caatinga,Anthropogenic_use,23714,111322.26,1862687.9792151118,2255976.1765563367,-42.41132536968638,-11.591988080671669
1990,Cerrado,Anthropogenic_use,130501,899534.25,989420.4743212486,1998239.4425474713,-50.513674991688724,-14.47100715887417
1990,Mata Atlântica,Anthropogenic_use,28357,126987.66,1553859.1254775624,1222801.189349907,-44.38360483039572,-20.74996758962057
1990,Pampa,Anthropogenic_use,115,237.33,677273.4215227889,150691.28562896853,-52.5942669332229,-30.558902876335463
1990,Pantanal,Anthropogenic_use,4703,19238.49,323680.8666198379,1552864.17135572,-56.78854964585954,-18.636604721522826
1991,Amazônia,Anthropogenic_use,219824,3353077.08,535804.4564013616,2639333.6876256578,-55.13614307741845,-8.943728829402886
1991,Caatinga,Anthropogenic_use,8818,36849.69,1964770.8713233708,2298804.7313540466,-41.50905021750849,-11.104684617489166
1991,Cerrado,Anthropogenic_use,126191,1019749.32,844650.5071549485,2043636.3556500755,-51.919517675305016,-14.147933459264802
1991,Mata Atlântica,Anthropogenic_use,15979,75120.21,1472560.209487255,1175658.6391748001,-45.247274157474955,-21.186839692584897
1991,Pampa,Anthropogenic_use,125,203.31,689578.2103507895,138211.45375519912,-52.453084979833484,-30.661582459863215
1991,Pantanal,Anthropogenic_use,19452,110644.74,293156.6100239422,1486453.7572053596,-57.08031740536484,-19.21452969565908
1992,Amazônia,Anthropogenic_use,238753,2933875.17,684897.4563320318,2780609.5030010426,-53.79236632019276,-7.653739662658493
1992,Caatinga,Anthropogenic_use,17238,84381.66,1837503.8484560237,2252554.8393315785,-42.63860813464281,-11.65292340575217
