Ano,Regime,Xc_km,Yc_km
1985,Natural,1032.3536422242476,2319.634639299574
1986,Natural,1140.273519332415,2373.6885244062587
1987,Natural,1061.1437527128714,2423.4484616631717
1988,Natural,1026.0415693710183,2354.3344191465353
1989,Natural,1144.9466504532127,2379.5748521547825
1990,Natural,1085.627039544251,2473.2586144294064
1991,Natural,903.1642148853797,2445.420192329391
1992,Natural,1173.778259660919,2715.646622023896
1993,Natural,1036.3323111713157,2281.594583670971
1994,Natural,1103.670782401477,2412.29016559231
1995,Natural,1028.186686983765,2391.927997333956
1996,Natural,1123.6991327303115,2480.283534625813
1997,Natural,1077.0892713754217,2536.375378625041
1998,Natural,1162.869378178,2492.1366606598754
1999,Natural,889.9843669872757,2253.0471205123513
2000,Natural,1118.2731647811177,2489.2560442062027
2001,Natural,1022.1324092646687,2548.8207134169684
2002,Natural,1030.4917349132807,2471.624462031806
2003,Natural,1055.7972568041246,2563.9542988504336
2004,Natural,1049.2402929450964,2532.2576107589093
2005,Natural,1008.2800707157329,2485.641319419905
2006,Natural,997.326118885028,2578.8494710837026
2007,Natural,1130.0529461246385,2461.483450425893
2008,Natural,1077.91141007189,2551.969093356871
2009,Natural,983.9915481093002,2714.187659534466
2010,Natural,1080.9291174560249,2410.514629185357
2011,Natural,1109.5981856885116,2522.8212432884043
2012,Natural,1246.7603772891846,2518.438610877186
2013,Natural,1092.2024187071222,2626.6996647824085
2014,Natural,1067.384640906255,2684.400219474461
2015,Natural,1095.7582010024637,2707.2503399830257
2016,Natural,978.1429682701561,2701.3802059104128
2017,Natural,1025.1102623757445,2603.478660974887
2018,Natural,997.6815268385565,2763.006224543456
2019,Natural,912.1786981056083,2545.1330397016322
2020,Natural,837.7821048050098,2442.6756743015326
2021,Natural,977.5069463458622,2375.0986065886004
2022,Natural,1036.1926262136333,2577.672011068399
2023,Natural,909.5461276887161,2866.9960458222026
2024,Natural,739.1574071181851,2581.8281088126696
1985,Use,764.5031958638821,2208.632049213583
1986,Use,797.1555284964276,2274.906403197237
1987,Use,717.1732167379927,2398.2207131393047
1988,Use,733.4111766928793,2286.540967554996
1989,Use,653.1438332063614,2298.0529927192733
1990,Use,707.5312207455713,2397.726454690716
1991,Use,625.2707712628653,2452.628527123568
1992,Use,794.5015840936915,2649.1140648930027
1993,Use,700.6842799354199,2288.851285738857
1994,Use,772.9417651226368,2347.888605774635
1995,Use,614.3481526806587,2452.3890324337954
1996,Use,792.2201394245344,2496.0198458522623
1997,Use,617.6571985850769,2498.504672244223
1998,Use,742.4890746131039,2510.2222324800705
1999,Use,688.2693127993106,2338.979023135044
2000,Use,817.0751600618714,2502.6176065437107
2001,Use,773.1018103737465,2594.397229858871
2002,Use,740.2074428283054,2518.8213832458887
2003,Use,742.7576692434579,2532.9499633512555
2004,Use,723.9185162113247,2569.63484045778
2005,Use,614.4582659304666,2593.4410446840193
2006,Use,647.1422368626983,2537.1978811886347
2007,Use,823.3976704059745,2538.761490271684
2008,Use,809.2491553710574,2572.8676870460517
2009,Use,891.0111129378275,2712.663858682247
2010,Use,787.1747390211606,2502.468868263529
2011,Use,957.4485757242755,2386.233785003846
2012,Use,931.2719654932819,2605.988807474178
2013,Use,907.5253170821059,2594.515054594302
2014,Use,868.7081749109042,2611.391753478236
2015,Use,841.1239584367881,2768.92650083695
2016,Use,770.6709030839731,2722.384112161167
2017,Use,823.5647533179206,2693.259112219082
2018,Use,627.5968066122759,2615.5522038496956
2019,Use,641.3237284792091,2611.318721594222
2020,Use,665.3577482738827,2591.0874754648116
2021,Use,483.6453541870847,2430.2857473281238
2022,Use,573.8492206819492,2677.1940426914925
2023,Use,762.8746632480572,2808.984470242259
2024,Use,699.2344439450806,2520.475008678521
